Id,SalePrice
1461,144000
1462,145000
1463,181000
1464,173000
1465,153900
1466,178000
1467,148000
1468,168000
1469,173000
1470,149900
1471,181000
1472,118000
1473,88000
1474,148500
1475,109500
1476,253293
1477,233170
1478,255000
1479,147000
1480,466500
1481,313000
1482,202500
1483,187100
1484,160200
1485,184100
1486,183500
1487,240000
1488,232000
1489,208300
1490,220000
1491,180000
1492,108000
1493,155000
1494,290000
1495,325000
1496,246578
1497,151000
1498,151000
1499,151000
1500,147400
1501,172500
1502,148800
1503,394432
1504,226000
1505,221000
1506,110000
1507,250000
1508,190000
1509,154000
1510,145250
1511,156000
1512,167000
1513,158000
1514,188000
1515,190000
1516,143000
1517,147000
1518,124000
1519,224900
1520,132500
1521,142000
1522,166000
1523,115000
1524,110000
1525,128500
1526,128500
1527,100000
1528,138500
1529,142000
1530,158000
1531,169500
1532,115000
1533,154000
1534,115000
1535,147000
1536,140000
1537,91000
1538,140000
1539,140000
1540,106000
1541,125500
1542,127000
1543,122000
1544,105000
1545,105000
1546,131000
1547,105000
1548,119500
1549,105000
1550,159000
1551,118000
1552,189000
1553,109500
1554,135000
1555,170000
1556,85000
1557,125000
1558,79000
1559,130000
1560,159000
1561,141000
1562,130000
1563,119900
1564,135960
1565,154000
1566,260000
1567,113000
1568,190000
1569,135000
1570,147000
1571,115000
1572,145000
1573,224000
1574,60000
1575,275000
1576,201000
1577,194000
1578,135000
1579,152000
1580,176500
1581,130250
1582,112500
1583,305900
1584,250000
1585,140000
1586,84000
1587,112000
1588,175000
1589,109000
1590,139000
1591,103200
1592,100000
1593,115000
1594,142953
1595,108000
1596,140000
1597,154300
1598,170000
1599,189000
1600,189000
1601,60000
1602,105000
1603,102776
1604,275000
1605,210000
1606,148000
1607,171000
1608,200141
1609,198900
1610,167500
1611,140000
1612,180500
1613,178000
1614,145000
1615,118000
1616,75000
1617,106000
1618,127000
1619,128200
1620,142953
1621,110000
1622,158000
1623,275000
1624,179900
1625,109008
1626,82500
1627,175000
1628,225000
1629,168500
1630,324000
1631,176500
1632,251000
1633,180000
1634,173000
1635,174000
1636,176000
1637,190000
1638,195000
1639,180000
1640,250000
1641,157000
1642,226000
1643,189000
1644,230000
1645,175000
1646,160000
1647,157000
1648,140000
1649,135000
1650,120500
1651,124500
1652,100000
1653,100000
1654,155000
1655,127500
1656,148500
1657,155000
1658,146000
1659,148500
1660,130000
1661,485000
1662,335000
1663,394617
1664,466500
1665,318000
1666,315000
1667,310000
1668,320000
1669,315500
1670,306000
1671,220000
1672,501837
1673,309000
1674,232000
1675,194700
1676,196000
1677,194700
1678,465000
1679,440000
1680,318061
1681,192000
1682,312500
1683,171750
1684,155835
1685,174000
1686,160200
1687,160000
1688,183500
1689,183500
1690,184000
1691,188500
1692,214900
1693,184100
1694,173000
1695,170000
1696,336000
1697,180000
1698,320000
1699,232000
1700,236000
1701,290000
1702,245350
1703,287090
1704,306000
1705,307000
1706,555000
1707,182000
1708,250580
1709,239000
