Id,SalePrice
1461,125000
1462,145250
1463,192000
1464,181000
1465,192000
1466,178000
1467,173000
1468,185000
1469,173000
1470,123000
1471,236500
1472,118000
1473,88000
1474,148500
1475,91000
1476,269500
1477,235128
1478,320000
1479,147000
1480,466500
1481,313000
1482,202500
1483,200141
1484,160200
1485,184100
1486,183500
1487,340000
1488,232000
1489,208300
1490,235000
1491,180000
1492,109500
1493,155000
1494,228000
1495,290000
1496,328900
1497,146000
1498,151000
1499,151000
1500,173733
1501,168500
1502,148800
1503,394432
1504,235000
1505,221000
1506,145000
1507,250000
1508,190000
1509,158000
1510,98600
1511,129000
1512,167000
1513,140000
1514,125000
1515,135000
1516,135000
1517,148000
1518,124000
1519,272000
1520,132500
1521,142000
1522,166000
1523,115000
1524,135000
1525,128500
1526,128500
1527,100000
1528,117000
1529,154000
1530,140000
1531,131000
1532,119000
1533,130000
1534,115000
1535,131000
1536,144000
1537,60000
1538,168000
1539,159500
1540,160000
1541,140000
1542,127000
1543,155000
1544,105000
1545,121600
1546,131000
1547,105000
1548,132500
1549,83000
1550,162900
1551,132000
1552,144000
1553,135000
1554,135000
1555,165000
1556,135000
1557,125000
1558,79000
1559,130000
1560,160000
1561,136500
1562,130000
1563,129900
1564,135960
1565,162000
1566,260000
1567,113000
1568,190000
1569,135000
1570,147000
1571,108000
1572,145000
1573,224000
1574,60000
1575,260000
1576,201000
1577,195400
1578,110000
1579,152000
1580,185000
1581,156000
1582,112500
1583,305900
1584,230000
1585,140000
1586,72500
1587,127000
1588,137500
1589,109000
1590,125000
1591,103200
1592,143000
1593,110000
1594,189000
1595,108000
1596,143000
1597,154300
1598,170000
1599,170000
1600,189000
1601,60000
1602,105000
1603,102776
1604,275000
1605,235000
1606,171500
1607,171000
1608,200141
1609,198900
1610,167500
1611,160000
1612,179600
1613,189000
1614,156000
1615,88000
1616,75000
1617,88000
1618,127000
1619,128200
1620,200000
1621,120000
1622,144000
1623,275000
1624,226000
1625,110000
1626,82500
1627,192000
1628,309000
1629,168500
1630,501837
1631,188000
1632,251000
1633,180000
1634,173000
1635,165600
1636,176000
1637,135000
1638,190000
1639,157000
1640,250000
1641,205000
1642,226000
1643,189000
1644,189000
1645,175000
1646,160000
1647,143000
1648,140000
1649,128500
1650,120500
1651,124500
1652,100000
1653,106000
1654,148500
1655,127500
1656,148500
1657,146000
1658,148500
1659,106000
1660,160000
1661,345000
1662,335000
1663,385000
1664,555000
1665,318000
1666,315000
1667,270000
1668,295493
1669,315500
1670,318000
1671,220000
1672,501837
1673,309000
1674,248900
1675,185850
1676,196000
1677,224000
1678,611657
1679,315000
1680,319900
1681,202500
1682,315000
1683,171750
1684,163990
1685,163990
1686,160200
1687,160000
1688,183500
1689,178000
1690,184000
1691,188500
1692,214900
1693,184100
1694,193000
1695,170000
1696,225000
1697,180000
1698,333168
1699,213250
1700,240000
1701,290000
1702,245350
1703,287090
1704,306000
1705,225000
1706,555000
1707,182000
1708,250580
1709,239000
1710,232600
1711,339750
1712,216837
1713,339750
1714,214000
1715,216000
1716,179900
1717,142500
1718,84500
1719,190000
1720,204000
1721,142500
1722,84500
1723,155000
1724,192000
1725,268000
1726,175900
1727,153900
1728,212000
1729,161750
1730,112000
1731,130250
1732,129900
1733,123000
1734,108000
1735,136500
1736,115000
1737,385000
1738,212000
1739,130000
1740,208900
1741,197000
1742,168500
1743,183900
1744,222000
1745,127500
1746,160000
1747,190000
1748,250000
1749,167900
1750,157000
1751,201800
1752,130000
1753,167000
1754,205000
1755,167900
1756,120500
1757,110000
1758,135000
1759,157500
1760,170000
1761,143000
1762,140000
